time,open,high,low,close,Volume,RSI,K,D
2022-12-05T01:00:00+01:00,0.9208,0.9217,0.918,0.918,274990,NaN,NaN,NaN
2022-12-05T01:05:00+01:00,0.918,0.9198,0.918,0.9195,39511,NaN,NaN,NaN
2022-12-05T01:10:00+01:00,0.9195,0.9209,0.9188,0.9194,238820,NaN,NaN,NaN
2022-12-05T01:15:00+01:00,0.9194,0.9201,0.918,0.9191,245757,NaN,NaN,NaN
2022-12-05T01:20:00+01:00,0.9191,0.9191,0.9183,0.919,62145,NaN,NaN,NaN
2022-12-05T01:25:00+01:00,0.919,0.9215,0.9187,0.9215,196588,NaN,NaN,NaN
2022-12-05T01:30:00+01:00,0.9215,0.9258,0.9215,0.9246,489234,NaN,NaN,NaN
2022-12-05T01:35:00+01:00,0.9246,0.9275,0.9242,0.9252,741172,NaN,NaN,NaN
2022-12-05T01:40:00+01:00,0.9252,0.9272,0.9218,0.9233,340746,NaN,NaN,NaN
2022-12-05T01:45:00+01:00,0.9233,0.926,0.9232,0.9237,189603,NaN,NaN,NaN
2022-12-05T01:50:00+01:00,0.9237,0.9239,0.9224,0.9237,248270,NaN,NaN,NaN
2022-12-05T01:55:00+01:00,0.9237,0.9243,0.9229,0.9236,52295,NaN,NaN,NaN
2022-12-05T02:00:00+01:00,0.9236,0.9242,0.9229,0.9231,137065,NaN,NaN,NaN
2022-12-05T02:05:00+01:00,0.9231,0.9233,0.923,0.9231,60955,NaN,NaN,NaN
2022-12-05T02:10:00+01:00,0.9231,0.9247,0.9231,0.9243,91347,75.6097561,NaN,NaN
2022-12-05T02:15:00+01:00,0.9243,0.9244,0.9229,0.9229,168049,67.35376045,NaN,NaN
2022-12-05T02:20:00+01:00,0.9229,0.9244,0.9229,0.9244,44075,71.00666032,NaN,NaN
2022-12-05T02:25:00+01:00,0.9244,0.925,0.9237,0.9239,91620,68.26468146,18.42628915,NaN
2022-12-05T02:30:00+01:00,0.9239,0.9252,0.9239,0.9252,66002,71.36122689,34.606314,NaN
2022-12-05T02:35:00+01:00,0.9252,0.9261,0.9245,0.9246,288345,68.0604078,22.71090834,25.24783717
2022-12-05T02:40:00+01:00,0.9246,0.9249,0.9243,0.9243,81112,66.40645022,19.03309222,25.45010485
2022-12-05T02:45:00+01:00,0.9243,0.9283,0.924,0.9277,775193,74.09105989,30.68585476,24.14328511
2022-12-05T02:50:00+01:00,0.9277,0.9298,0.9276,0.9288,648611,76.00359963,61.16612072,36.96168923
2022-12-05T02:55:00+01:00,0.9288,0.9305,0.9288,0.9292,310319,76.67778994,94.49945405,62.11714318
2022-12-05T03:00:00+01:00,0.9292,0.9315,0.9292,0.9303,244136,78.46927216,100,85.22185826
2022-12-05T03:05:00+01:00,0.9303,0.9343,0.9301,0.933,719555,82.10318363,100,98.16648468
2022-12-05T03:10:00+01:00,0.933,0.9344,0.933,0.9342,255038,83.44087288,100,100
2022-12-05T03:15:00+01:00,0.9342,0.9343,0.9309,0.931,364330,68.69534906,71.14563432,90.38187811
2022-12-05T03:20:00+01:00,0.931,0.9319,0.9305,0.931,108074,68.69534906,42.29126864,71.14563432
2022-12-05T03:25:00+01:00,0.931,0.9321,0.9306,0.9306,68397,66.97940922,10.07911408,41.17200568
2022-12-05T03:30:00+01:00,0.9306,0.9308,0.9291,0.9291,128110,60.84188349,5.600146433,19.32350972
2022-12-05T03:35:00+01:00,0.9291,0.93,0.9287,0.9298,123228,62.56578408,3.663918724,6.447726414
2022-12-05T03:40:00+01:00,0.9298,0.9317,0.9298,0.9306,122574,64.48984838,7.923459737,5.729174965
2022-12-05T03:45:00+01:00,0.9306,0.9326,0.9304,0.9312,248225,65.90526442,15.39190717,8.99309521
2022-12-05T03:50:00+01:00,0.9312,0.9316,0.9307,0.9313,61003,66.1474545,20.67484314,14.66340335
2022-12-05T03:55:00+01:00,0.9313,0.9317,0.9299,0.9299,127661,59.74850363,15.29412334,17.12029122
2022-12-05T04:00:00+01:00,0.9299,0.9301,0.9289,0.9295,261260,58.02146919,7.825675913,14.59821413
